,English,Kanji,Kana,Romaji
485,beginning,初め / 始め, はじめ ,hajime
486,for the first time,初めて, はじめて ,hajimete
487,to run,走る, はしる ,hashiru
488,bus,-,バス ,basu
489,butter,-,バター ,batā
490,"20 years old,20th year",二十歳, はたち ,hatachi
491,to work,働く, はたらく ,hataraku
492,eight,八, はち ,hachi
493,"twenty days,twentieth",二十日, はつか ,hatsuka
494,flower,花, はな ,hana
495,nose,鼻, はな ,hana
496,"talk,story",話, はなし ,hanashi
497,to speak,話す, はなす ,hanasu
498,early,早い, はやい ,hayai
499,quick,速い, はやい ,hayai
500,spring,春, はる ,haru
501,to stick,貼る, はる ,haru
502,clear weather,晴れ, はれ ,hare
503,to be sunny,晴れる, はれる ,hareru
504,half,半, はん ,han
505,evening,晩, ばん ,ban
506,bread,-,パン ,pan
507,handkerchief,-,ハンカチ ,hankachi
508,number,番号, ばんごう ,bangō
509,evening meal,晩御飯, ばんごはん ,bangohan
510,half minute,半分, はんぶん ,hanbun
511,east,東, ひがし ,higashi
512,to pull,引く, ひく ,hiku
513,"to play an instrument with strings, including piano",弾く, ひく ,hiku
514,"short,low",低い, ひくい ,hikui
515,aeroplane,飛行機, ひこうき ,hikōki
516,left hand side,左, ひだり ,hidari
517,person,人, ひと ,hito
518,one,一つ, ひとつ ,hitotsu
519,one month,一月, ひとつき ,hitotsuki
520,one person,一人, ひとり ,hitori
521,free time,暇, ひま ,hima
522,hundred,百, ひゃく ,hyaku
523,hospital,病院, びょういん ,byōin
524,illness,病気, びょうき ,byōki
525,"noon, daytime",昼, ひる ,hiru
526,midday meal,昼御飯, ひるごはん ,hirugohan
527,"spacious,wide",広い, ひろい ,hiroi
528,roll of film,-,フィルム ,fuィrumu
529,envelope,封筒, ふうとう ,fūtō
530,swimming pool,-,プール ,pūru
531,fork,-,フォーク ,fuォーku
532,to blow,吹く, ふく ,fuku
533,clothes,服, ふく ,fuku
534,two,二つ, ふたつ ,futatsu
535,pork,豚肉, ぶたにく ,butaniku
536,two people,二人, ふたり ,futari
537,"two days, second day of the month",二日, ふつか ,futsuka
538,fat,太い, ふとい ,futoi
539,winter,冬, ふゆ ,fuyu
540,"to fall, e.g. rain or snow",降る, ふる ,furu
541,old (not used for people),古い, ふるい ,furui
542,bath,-,ふろ ,furo
543,"sentence,text",文章, ぶんしょう ,bunshō
544,page,-,ページ ,pēji
545,unskillful,下手, へた ,heta
546,bed,-,ベッド ,beddo
547,pet,-,ペット ,petto
548,room,部屋, へや ,heya
549,area,辺, へん ,hen
550,pen,-,ペン ,pen
551,to study,勉強, べんきょうする ,benkyōsuru
552,"useful, convenient",便利, べんり ,benri
553,hat,帽子, ぼうし ,bōshi
554,ball,-,ボールペン ,bōrupen
555,"other, the rest",-,ほか ,hoka
556,pocket,-,ポケット ,poketto
557,want,欲しい, ほしい ,hoshii
558,post,-,ポスト ,posuto
559,thin,細い, ほそい ,hosoi
560,button,-,ボタン ,botan
561,hotel,-,ホテル ,hoteru
562,book,本, ほん ,hon
563,bookshelves,本棚, ほんだな ,hondana
564,truth,-,ほんとう ,hontō
565,every morning,毎朝, まいあさ ,maiasa
566,every month,毎月, まいげつ / まいつき ,maigetsu / maitsuki
567,every week,毎週, まいしゅう ,maishū
568,every day,毎日, まいにち ,mainichi
569,every year,毎年, まいねん / まいとし ,mainen / maitoshi
570,every night,毎晩, まいばん ,maiban
571,before,前, まえ ,mae
572,"to turn,to bend",曲る, まがる ,magaru
573,unpleasant,-,まずい ,mazui
574,"again,and",-,また ,mata
575,"yet,still",-,まだ ,mada
576,"town,city",町, まち ,machi
577,to wait,待つ, まつ ,matsu
578,"straight ahead,direct",-,まっすぐ ,maっsugu
579,match,-,マッチ ,ma!chi
580,window,窓, まど ,mado
581,"round,circular",丸い / 円い, まるい ,marui
582,ten thousand,万, まん ,man
583,fountain pen,万年筆, まんねんひつ ,mannenhitsu
584,"to brush teeth, to polish",磨く, みがく ,migaku
585,right side,右, みぎ ,migi
586,short,短い, みじかい ,mijikai
587,water,水, みず ,mizu
588,shop,店, みせ ,mise
589,to show,見せる, みせる ,miseru
590,street,道, みち ,michi
591,"three days, third day of the month",三日, みっか ,miっka
592,three,三つ, みっつ ,miっtsu
593,green,緑, みどり ,midori
594,everyone,皆さん, みなさん ,minasan
595,south,南, みなみ ,minami
596,ear,耳, みみ ,mimi
597,"to see, to watch",見る / 観る, みる ,miru
598,everyone,-,みんな ,minna
599,"six days, sixth day of the month",六日, むいか ,muika
600,over there,向こう, むこう ,mukō
601,difficult,難しい, むずかしい ,muzukashii
602,six,六つ, むっつ ,muっtsu
603,village,村, むら ,mura
604,eye,目, め ,me
605,metre,-,メートル ,mētoru
606,glasses,眼鏡, めがね ,megane
607,already,-,もう ,mō
608,again,もう一度, もういちど ,mōichido
609,Thursday,木曜日, もくようび ,mokuyōbi
610,to hold,持つ, もつ ,motsu
611,more,-,もっと ,moっto
612,thing,物, もの ,mono
613,gate,門, もん ,mon
614,problem,問題, もんだい ,mondai
